100
DIT/FT/2A/01;p100001;Student 1;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/40;p100040;Student 40;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/41;p100041;Student 41;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/42;p100042;Student 42;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/43;p100043;Student 43;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/44;p100044;Student 44;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/45;p100045;Student 45;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/46;p100046;Student 46;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/47;p100047;Student 47;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/48;p100048;Student 48;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/49;p100049;Student 49;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/50;p100050;Student 50;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/51;p100051;Student 51;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/52;p100052;Student 52;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/53;p100053;Student 53;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/54;p100054;Student 54;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/55;p100055;Student 55;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/56;p100056;Student 56;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/57;p100057;Student 57;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/58;p100058;Student 58;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/59;p100059;Student 59;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/60;p100060;Student 60;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/61;p100061;Student 61;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/62;p100062;Student 62;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/63;p100063;Student 63;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/64;p100064;Student 64;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/65;p100065;Student 65;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/66;p100066;Student 66;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/67;p100067;Student 67;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/68;p100068;Student 68;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/69;p100069;Student 69;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/70;p100070;Student 70;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/71;p100071;Student 71;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/72;p100072;Student 72;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/73;p100073;Student 73;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/74;p100074;Student 74;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/75;p100075;Student 75;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/76;p100076;Student 76;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/77;p100077;Student 77;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/78;p100078;Student 78;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/79;p100079;Student 79;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/80;p100080;Student 80;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/81;p100081;Student 81;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/82;p100082;Student 82;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/83;p100083;Student 83;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/84;p100084;Student 84;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/85;p100085;Student 85;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/86;p100086;Student 86;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/87;p100087;Student 87;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/88;p100088;Student 88;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/89;p100089;Student 89;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/90;p100090;Student 90;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/91;p100091;Student 91;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/92;p100092;Student 92;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/93;p100093;Student 93;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/94;p100094;Student 94;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/95;p100095;Student 95;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/96;p100096;Student 96;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/97;p100097;Student 97;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/98;p100098;Student 98;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/99;p100099;Student 99;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/100;p100100;Student 100;2;ST0509;Java;4;80;ST0502;FOP;6;75
